letter_number,date,english_title,tamil_title,source_pdf_pages,source_printed_pages,translation_status,bilingual_alignment_status,source_textual_fidelity_audit,file,bilingual_alignment_report
3728,2013-04-04,The Duty the DMK Government Performed for Arunthathiyars!,அருந்ததியருக்கு கழக ஆட்சி ஆற்றிய கடமை!,174-179,173-178,verified,verified,visual-scan-verified,letters/3728-duty-performed-by-dmk-rule-for-arunthathiyars.md,../BILINGUAL_ALIGNMENT_REVIEW_3726_3730.md
3729,2013-04-09,"That Day Came Back to Mind, Madam!",அந்த நாள் ஞாபகம் வந்ததே; அம்மையே!,180-186,179-185,verified,verified,visual-scan-verified,letters/3729-that-day-came-to-mind-madam.md,../BILINGUAL_ALIGNMENT_REVIEW_3726_3730.md
3730,2013-04-10,By Whom Did Betrayal Become a Continuing Story?,துரோகம் தொடர்கதையானது யாராலே?,187-192,186-191,verified,verified,visual-scan-verified,letters/3730-by-whom-did-betrayal-become-a-serial-story.md,../BILINGUAL_ALIGNMENT_REVIEW_3726_3730.md
3731,2013-04-11,For Dalit People to Know!,“தலித்” மக்கள் தெரிந்து கொள்வதற்காக!,193-199,192-198,verified,verified,visual-scan-verified,letters/3731-for-dalit-people-to-know.md,../BILINGUAL_ALIGNMENT_REVIEW_3731_3735.md
3732,2013-04-12,The Beneficiaries Will Know the Truth!,பயன்பெறும் மக்களுக்கு உண்மை தெரியத்தான் போகிறது!,200-206,199-205,verified,verified,visual-scan-verified,letters/3732-beneficiaries-will-know-the-truth.md,../BILINGUAL_ALIGNMENT_REVIEW_3731_3735.md
3733,2013-04-14,Let Us Raise Our Voice!,ஓங்கிக் குரல் கொடுப்போம்!,207-212,206-211,verified,verified,visual-scan-verified,letters/3733-let-us-raise-our-voice.md,../BILINGUAL_ALIGNMENT_REVIEW_3731_3735.md
3734,2013-04-15,The Cruelty of Human Sacrifice in a Civilised Age?,நாகரிகயுகத்தில் நரபலிக் கொடுமையா?,213-215,212-214,verified,verified,visual-scan-verified,letters/3734-human-sacrifice-cruelty-in-civilised-age.md,../BILINGUAL_ALIGNMENT_REVIEW_3731_3735.md
3735,2013-04-16,Couldn’t a Statement Be Read for This Too?,இதற்கோர் அறிக்கை படிக்கலாமே?,216-219,215-218,verified,verified,visual-scan-verified,letters/3735-can-an-announcement-be-read-for-this.md,../BILINGUAL_ALIGNMENT_REVIEW_3731_3735.md
3736,2013-04-17,Do Not Sully Departed Leaders!,மறைந்த தலைவர்களுக்கு மாசு கற்பித்தல் கூடாது!,220-225,219-224,verified,verified,visual-scan-verified,letters/3736-do-not-sully-departed-leaders.md,../BILINGUAL_ALIGNMENT_REVIEW_3736_3740.md
3737,2013-04-18,What Do All Parties Expect in This Cooperative Election?,இந்தக் கூட்டுறவுத் தேர்தலில் எல்லாக் கட்சிகளும் எதிர்பார்ப்பது என்ன?,226-231,225-230,verified,verified,visual-scan-verified,letters/3737-what-do-all-parties-expect-in-this-cooperative-election.md,../BILINGUAL_ALIGNMENT_REVIEW_3736_3740.md
3738,2013-04-19,An Appeal I Make Again and Again!,"மீண்டும், மீண்டும் விடுத்திடும் வேண்டுகோள்!",232-236,231-235,verified,verified,visual-scan-verified,letters/3738-a-repeated-appeal.md,../BILINGUAL_ALIGNMENT_REVIEW_3736_3740.md
3739,2013-04-21,Two Unforgettable Gems! Kalaignar’s Condolence Letter!,மறக்க முடியாத மாமணிகள் - இருவர்! கலைஞர் இரங்கல் கடிதம்!,237-241,236-240,verified,verified,visual-scan-verified,letters/3739-two-unforgettable-gems-condolence-letter.md,../BILINGUAL_ALIGNMENT_REVIEW_3736_3740.md
3740,2013-04-22,Prevent Before It Comes—or Suffer After It Arrives?,வருமுன் காப்பதா? வந்தபின் தவிப்பதா?,242-248,241-247,verified,verified,visual-scan-verified,letters/3740-prevent-before-or-suffer-after.md,../BILINGUAL_ALIGNMENT_REVIEW_3736_3740.md
3741,2013-04-23,Strong Reasons Are Piling Up!,வலுவான காரணங்கள் குவிகின்றன!,249-254,248-253,verified,verified,visual-scan-verified,letters/3741-strong-reasons-are-piling-up.md,../BILINGUAL_ALIGNMENT_REVIEW_3741_3745.md
3742,2013-04-27,Unending Cruelties Against Eelam Tamils!,ஈழத் தமிழர்க்கு இன்னமும் ஓயாத கொடுமைகள்!,255-259,254-258,verified,verified,visual-scan-verified,letters/3742-unending-cruelties-against-eelam-tamils.md,../BILINGUAL_ALIGNMENT_REVIEW_3741_3745.md
3743,2013-04-28,"Dream or Reality? Is This the Tale of “Donkey, Keep Quiet”?",கனவா? நனவா? கழுதையே சும்மா இரு என்ற கதையா?,260-266,259-265,verified,verified,visual-scan-verified,letters/3743-dream-or-reality-donkey-keep-quiet.md,../BILINGUAL_ALIGNMENT_REVIEW_3741_3745.md
3744,2013-04-29,Law and Order Turns to Dust in a State Ruled by a Woman!,பெண் ஆளும் மாநிலத்தில் மண் ஆகும் சட்டம் ஒழுங்கு!,267-272,266-271,verified,verified,visual-scan-verified,letters/3744-law-and-order-turns-to-dust-in-woman-ruled-state.md,../BILINGUAL_ALIGNMENT_REVIEW_3741_3745.md
3745,2013-04-30,Unorganised Workers—and Me!,அமைப்பு சாராத் தொழிலாளர்களும் - நானும்!,273-279,272-278,verified,verified,visual-scan-verified,letters/3745-unorganised-workers-and-me.md,../BILINGUAL_ALIGNMENT_REVIEW_3741_3745.md
3746,2013-05-01,The Height of Vindictiveness!,காழ்ப்புணர்வின் உச்சகட்டம்!,280-286,279-285,verified,verified,visual-scan-verified,letters/3746-the-height-of-vindictiveness.md,../BILINGUAL_ALIGNMENT_REVIEW_3746_3750.md
3747,2013-05-03,Why Did Anna Declare a Day of Uprising?,அண்ணா அறிவித்த எழுச்சி நாள் எதற்காக?,287-294,286-293,verified,verified,visual-scan-verified,letters/3747-why-did-anna-announce-rising-day.md,../BILINGUAL_ALIGNMENT_REVIEW_3746_3750.md
3748,2013-05-05,“Long Mouth” Will Lose; Truth Alone Will Triumph!,“வாய் நீளம்” தோற்றுப்போகும்; “வாய்மையே வெல்லும்!”,295-304,294-303,verified,verified,visual-scan-verified,letters/3748-long-mouth-will-lose-truth-will-win.md,../BILINGUAL_ALIGNMENT_REVIEW_3746_3750.md
3749,2013-05-07,The Sethu Project That Does Not Hurt Hindus in the Least! — Kalaignar Serial Letter 3,இந்துக்களை இம்மியளவும் புண்படுத்தாத சேதுத் திட்டம்! கலைஞர் தொடர் கடிதம்-3,305-311,304-310,verified,verified,visual-scan-verified,letters/3749-sethu-project-that-does-not-hurt-hindus.md,../BILINGUAL_ALIGNMENT_REVIEW_3746_3750.md
3750,2013-05-08,Let Us Work to Make Ezhuchi Naal a Success!,எழுச்சி நாள் வெற்றி பெற பணியாற்றுவோம்!,312-318,311-317,verified,verified,visual-scan-verified,letters/3750-let-us-work-for-rising-day-success.md,../BILINGUAL_ALIGNMENT_REVIEW_3746_3750.md
3751,2013-05-09,Isn’t a Drama Being Staged in the Country!,ஒரு நாடகமன்றோ நடக்குது நாட்டிலே!,319-325,318-324,verified,verified,visual-scan-verified,letters/3751-is-a-drama-being-staged-in-the-country.md,../BILINGUAL_ALIGNMENT_REVIEW_3751_3755.md
3752,2013-05-10,A Roadblock for “Sethu”! An Act That Will Ruin Tamil Livelihoods!,“சேது”வுக்கு முட்டுக்கட்டை! தமிழர் வாழ்வைச் சீரழிக்கும் நடவடிக்கை!,326-332,325-331,verified,verified,visual-scan-verified,letters/3752-blocking-sethu-destroying-tamil-livelihoods.md,../BILINGUAL_ALIGNMENT_REVIEW_3751_3755.md
3753,2013-05-11,Industrial Growth in Tamil Nadu: Then and Now!,தமிழகத்தில் தொழில் வளர்ச்சி; அன்றும் - இன்றும்!,333-339,332-338,verified,verified,visual-scan-verified,letters/3753-industrial-growth-in-tamil-nadu-then-and-now.md,../BILINGUAL_ALIGNMENT_REVIEW_3751_3755.md
3754,2013-05-12,Must This Cruelty Still Continue in Eelam?,ஈழத்தில் இன்னமும் தொடர்வதா இந்தக் கொடுமை?,340-346,339-345,verified,verified,visual-scan-verified,letters/3754-does-this-cruelty-still-continue-in-eelam.md,../BILINGUAL_ALIGNMENT_REVIEW_3751_3755.md
3755,2013-05-14,They Are Prodding a Sleeping Tiger!,தூங்கும் புலியை இடறுகிறார்கள்!,347-352,346-351,verified,verified,visual-scan-verified,letters/3755-they-are-prodding-a-sleeping-tiger.md,../BILINGUAL_ALIGNMENT_REVIEW_3751_3755.md
3756,2013-05-15,Will Amma’s Plans Stop at Announcements!,அறிவிப்போடு நிற்குமா அம்மாவின் திட்டங்கள்!,353-355,352-354,verified,verified,visual-scan-verified,letters/3756-will-ammas-plans-stop-with-announcements.md,../BILINGUAL_ALIGNMENT_REVIEW_3756_3760.md
3757,2013-05-18,Two Years of Rule: Achievement or Agony?,இரண்டாண்டு ஆட்சி; சாதனையா? வேதனையா?,356-363,355-362,verified,verified,visual-scan-verified,letters/3757-two-years-rule-achievement-or-agony.md,../BILINGUAL_ALIGNMENT_REVIEW_3756_3760.md
3758,2013-05-19,For the Reservation Policy to Become Complete...,இட ஒதுக்கீட்டுக் கொள்கை முழுமை பெற...,364-369,363-368,verified,verified,visual-scan-verified,letters/3758-reservation-policy-to-be-complete.md,../BILINGUAL_ALIGNMENT_REVIEW_3756_3760.md
3759,2013-05-21,Can a Union Government Project Be Ruined by a State Government?,"மத்திய அரசின் திட்டம், மாநில அரசால் பாழாகலாமா?",370-374,369-373,verified,verified,visual-scan-verified,letters/3759-can-central-project-be-ruined-by-state-government.md,../BILINGUAL_ALIGNMENT_REVIEW_3756_3760.md
3760,2013-05-22,Not a Warning; Just Something to Think About!,எச்சரிக்கையல்ல; எண்ணிப் பார்ப்பதற்காக!,375-380,374-379,verified,verified,visual-scan-verified,letters/3760-not-a-warning-for-reflection.md,../BILINGUAL_ALIGNMENT_REVIEW_3756_3760.md
3761,2013-05-26,Another Attempt to Sell Shares of the Lignite Company?,நிலக்கரி நிறுவனப் பங்குகளை மீண்டும் விற்க முயற்சியா?,381-386,380-385,verified,verified,visual-scan-verified,letters/3761-trying-again-to-sell-lignite-company-shares.md,../BILINGUAL_ALIGNMENT_REVIEW_3761_3763.md
3762,2013-05-27,A Joyous Beginning for Hogenakkal!,உவகை ஊட்டும் ஒகேனக்கல் தொடக்கம்!,387-392,386-391,verified,verified,visual-scan-verified,letters/3762-joyful-hogenakkal-beginning.md,../BILINGUAL_ALIGNMENT_REVIEW_3761_3763.md
3763,2013-05-31,Everyone Knows All the Truth!,அனைத்து உண்மையும் அனைவருக்கும் தெரியுமே!,393-400,392-399,verified,verified,visual-scan-verified,letters/3763-everyone-knows-all-the-truth.md,../BILINGUAL_ALIGNMENT_REVIEW_3761_3763.md
