letter_number,date,english_title,tamil_title,source_pdf_pages,source_printed_pages,translation_status,bilingual_alignment_status,source_textual_fidelity_audit,english_word_count,file,bilingual_alignment_report
3626,2012-05-25,When the State Government Itself Does Not Act...,மாநில அரசே செயல்படாத நிலையில்...,267-272,266-271,verified,verified,visual-scan-verified,1062,letters/3626-when-the-state-government-itself-does-not-act.md,../BILINGUAL_ALIGNMENT_REVIEW_3625_3629.md
3627,2012-05-27,Without Delay — Find a Fitting Solution!,தாமதமின்றி - தக்கதோர் முடிவு காண்பீர்!,273-278,272-277,verified,verified,visual-scan-verified,1274,letters/3627-without-delay-find-a-fitting-solution.md,../BILINGUAL_ALIGNMENT_REVIEW_3625_3629.md
3628,2012-05-29,Let Us Rise Roaring Like the Surging Sea!,அலைகடலென ஆர்த்தெழுவோம்!,279-286,278-285,verified,verified,visual-scan-verified,1696,letters/3628-let-us-rise-roaring-like-the-surging-sea.md,../BILINGUAL_ALIGNMENT_REVIEW_3625_3629.md
3629,2012-06-07,J. Sang the Chorus to the DMK's State Autonomy!,தி.மு.க.வின் மாநில சுயாட்சிக்கு ஜெ. பாடிய பின்பாட்டு!,287-295,286-294,verified,verified,visual-scan-verified,1953,letters/3629-j-sang-the-chorus-to-dmks-state-autonomy.md,../BILINGUAL_ALIGNMENT_REVIEW_3625_3629.md
3630,2012-06-08,"If I Elaborate, It Will Grow; I Leave It Here!",விரிக்கிற பெருகும்; விரிஞ்சி விடுகிறேன்!,296-304,295-303,verified,verified,visual-scan-verified,2149,letters/3630-if-i-elaborate-it-will-grow-i-leave-it-here.md,../BILINGUAL_ALIGNMENT_REVIEW_3630_3634.md
3631,2012-06-09,Will Democracy Become an Object of Mockery?,ஜனநாயகம் கேலிப் பொருளாகி விடுவதா?,305-310,304-309,verified,verified,visual-scan-verified,1350,letters/3631-will-democracy-become-an-object-of-mockery.md,../BILINGUAL_ALIGNMENT_REVIEW_3630_3634.md
3632,2012-06-10,“OTHERWISE — President”,“OTHERWISE - ஜனாதிபதி”,311-315,310-314,verified,verified,visual-scan-verified,1137,letters/3632-otherwise-president.md,../BILINGUAL_ALIGNMENT_REVIEW_3630_3634.md
3633,2012-06-11,Whose Child Is It; Who Claims to Be the Mother?,யார் பெற்ற பிள்ளைக்கு; யார் “தாய் முறை” கோருவது?,316-321,315-320,verified,verified,visual-scan-verified,1262,letters/3633-whose-child-is-it-who-claims-to-be-the-mother.md,../BILINGUAL_ALIGNMENT_REVIEW_3630_3634.md
3634,2012-06-21,The Executive Committee Will Take the Appropriate Decision!,தலைமைச் செயற்குழு; தக்க முடிவெடுக்கும்!,322-328,321-327,verified,verified,visual-scan-verified,1772,letters/3634-the-executive-committee-will-take-the-appropriate-decision.md,../BILINGUAL_ALIGNMENT_REVIEW_3630_3634.md
3635,2012-06-27,The Kazhagam Army Yearns to Enter the Field!,"களம் காணத் துடிக்குது, கழகப்படை!",329-335,328-334,verified,verified,visual-scan-verified,1846,letters/3635-the-kazhagam-army-yearns-to-enter-the-field.md,../BILINGUAL_ALIGNMENT_REVIEW_3635_3639.md
3637,2012-07-03,Go Today! Win Sweetly! — I Send You Forth with My Blessing!,“இன்றே செல்க! இனிதே வெல்க!” என வாழ்த்தி வழியனுப்புகிறேன்!,336-342,335-341,verified,verified,visual-scan-verified,1419,letters/3637-go-today-win-sweetly-i-send-you-with-my-blessing.md,../BILINGUAL_ALIGNMENT_REVIEW_3635_3639.md
3637,2012-07-05,"My Beloved Udanpirappugal, Dearer Than My Life!",என் உயிரினுமேலான அன்பு உடன்பிறப்புக்களே!,343-343,342-342,verified,verified,visual-scan-verified,106,letters/3637-my-beloved-udanpirappugal-dearer-than-life.md,../BILINGUAL_ALIGNMENT_REVIEW_3635_3639.md
3638,2012-07-06,Can Truth Become Nothing Before Great Opposition?,பேரெதிர்ப்பால் உண்மைதான் இன்மையாமோ?,344-348,343-347,verified,verified,visual-scan-verified,1091,letters/3638-can-truth-become-nothing-before-great-opposition.md,../BILINGUAL_ALIGNMENT_REVIEW_3635_3639.md
3639,2012-07-09,Is All This Politics?,இவை எல்லாமே அரசியல்தானா?,349-355,348-354,verified,verified,visual-scan-verified,1500,letters/3639-is-all-this-politics.md,../BILINGUAL_ALIGNMENT_REVIEW_3635_3639.md
3640,2012-07-13,What Is Happening in Tamil Nadu?,என்ன நடக்கிறது தமிழகத்தில்?,356-361,355-360,verified,verified,visual-scan-verified,1174,letters/3640-what-is-happening-in-tamil-nadu.md,../BILINGUAL_ALIGNMENT_REVIEW_3640_3647.md
3641,2012-07-19,Do Not Create Perversity by Calling It Confusion!,குழப்பம் எனக்கூறி குதர்க்கம் விளைக்காதீர்!,362-366,361-365,verified,verified,visual-scan-verified,931,letters/3641-do-not-create-perversity-by-calling-it-confusion.md,../BILINGUAL_ALIGNMENT_REVIEW_3640_3647.md
3642,2012-07-24,Murasoli Circulation Must Grow Threefold!,முரசொலி எண்ணிக்கை மும்மடங்கு பெருக வேண்டும்!,367-370,366-369,verified,verified,visual-scan-verified,949,letters/3642-murasoli-circulation-must-grow-threefold.md,../BILINGUAL_ALIGNMENT_REVIEW_3640_3647.md
3643,2012-07-26,‘Everything Is Me’ Is Not a Path Good People Praise!,“எல்லாம் நானே” என்பது நல்லோர் போற்றும் வழியல்ல!,371-381,370-380,verified,verified,visual-scan-verified,2607,letters/3643-all-i-myself-is-not-a-path-good-people-praise.md,../BILINGUAL_ALIGNMENT_REVIEW_3640_3647.md
3647,2012-08-02,"Come, Let Us Remove the Suffering of Eelam Tamils!",ஈழத்தமிழர் இன்னல் களைந்திட வாரீர்!,382-387,381-386,verified,verified,visual-scan-verified,1443,letters/3647-come-let-us-remove-the-suffering-of-eelam-tamils.md,../BILINGUAL_ALIGNMENT_REVIEW_3640_3647.md
3648,2012-08-05,Farmers’ Anguish and Varied Statements!,"விவசாயிகள் வேதனையும், விதவிதமான அறிக்கைகளும்!",388-393,387-392,verified,verified,visual-scan-verified,1373,letters/3648-farmers-anguish-and-varied-statements.md,../BILINGUAL_ALIGNMENT_REVIEW_3648_3649.md
3649,2012-08-15,We Await the Case!,வழக்கை எதிர்நோக்குகிறோம்!,394-400,393-399,verified,verified,visual-scan-verified,1712,letters/3649-we-await-the-case.md,../BILINGUAL_ALIGNMENT_REVIEW_3648_3649.md
