order,chapter_id,letter_number,tamil_title,source_file,source_sha256,translation_file,status
11,m50-l3827,3827,நாளை “டெசோ” கூடுகிறது!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3827_நாளை_“டெசோ”_கூடுகிறது!/chapter.md,91405fa1dab7bf8b392473fb3ed9df14a2736b72ecb6ee8e944354fe46b9975d,translations/vol50/m50-l3827.en.md,translated
12,m50-l3828,3828,தொழிலாளர்கள் ஊதியம் உயர்வு; இன்னுமா கேள்விக்குறி!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3828_தொழிலாளர்கள்_ஊதியம்_உயர்வு;_இன்னுமா_கேள்விக்குறி!/chapter.md,11a4fda38654d0ff2d4ae9fb9894df319d150d830156cdcf8f70e7eb67deba43,translations/vol50/m50-l3828.en.md,translated
13,m50-l3829,3829,இங்கிலாந்து பிரதமரும்; நமது இந்தியப் பிரதமரும்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3829_இங்கிலாந்து_பிரதமரும்;_நமது_இந்தியப்_பிரதமரும்!/chapter.md,2dc54d5de25d8c5f025c279e9858a9e4febc08530f90883496aa03066cfbef8a,translations/vol50/m50-l3829.en.md,translated
14,m50-l3830,3830,எவுளம் இங்கே வந்திட ஏன் வீண் தயக்கம்?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3830_எவுளம்_இங்கே_வந்திட_ஏன்_வீண்_தயக்கம்/chapter.md,27f566818769901413859c3fdcca9576e66de1ff73e13112af8b20a2fff19878,translations/vol50/m50-l3830.en.md,translated
15,m50-l3831,3831,அராஜகத்தின் முடிவு நெருங்கிக் கொண்டிருக்கிறது!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3831_அராஜகத்தின்_முடிவு_நெருங்கிக்_கொண்டிருக்கிறது!/chapter.md,6e3be6ab982bfdf337dc094150b8551d0c617028f507d8ec276b13f0976fbbf2,translations/vol50/m50-l3831.en.md,translated
16,m50-l3832,3832,உரிமை கேட்கிற நேரத்தில் கடமை மறந்து விடலாமா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3832_உரிமை_கேட்கிற_நேரத்தில்_கடமை_மறந்து_விடலாமா/chapter.md,40588c1c92ec71b1edb85ea23f838877cbf7ff4040b3fa61312dc9e6eaa15eb9,translations/vol50/m50-l3832.en.md,translated
17,m50-l3833,3833,"வாய் புளித்ததோ, மாங்காய் புளித்ததோ என்று பேசுவதா?","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3833_வாய்_புளித்ததோ,_மாங்காய்_புளித்ததோ_என்று_பேசுவதா/chapter.md",530605f17438fa1eff9ddb009609bd87f604f033d76ddc263a4ea1326bb106c8,translations/vol50/m50-l3833.en.md,translated
18,m50-l3834,3834,நல்ல செய்தி தருவீர்கள் என்ற நம்பிக்கை எனக்கு உண்டு!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3834_நல்ல_செய்தி_தருவீர்கள்_என்ற_நம்பிக்கை_எனக்கு_உண்டு!/chapter.md,54d666635b69a63f0da48e7351989296ade04c512b96f30f6f02bdb86b71a2bb,translations/vol50/m50-l3834.en.md,translated
19,m50-l3835,3835,தேர்தல் கமிஷனுக்கும் “பெப்பே” தானா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3835_தேர்தல்_கமிஷனுக்கும்_“பெப்பே”_தானா/chapter.md,0f242249a86775f007255752659226b55c917372ccc575eb0dafce8d6c9506bb,translations/vol50/m50-l3835.en.md,translated
20,m50-l3836,3836,தோல்வி கண்டு துவளாமல் தொடர்ந்து பணியாற்றுவோம்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3836_தோல்வி_கண்டு_துவளாமல்_தொடர்ந்து_பணியாற்றுவோம்!/chapter.md,0a22346ea9ce0d525a80b6e4c7d6da6c0561a11d313c110fc63eadc60d3fe818,translations/vol50/m50-l3836.en.md,translated
21,m50-l3837,3837,சொத்துக்குவிப்பு வழக்கும்; கோடநாடு வழக்கும்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3837_சொத்துக்குவிப்பு_வழக்கும்;_கோடநாடு_வழக்கும்!/chapter.md,9dee02029418be7ae0abeab1b7c9672cb40a1d75d0763f8bcb5a2424217c0695,translations/vol50/m50-l3837.en.md,translated
22,m50-l3838,3838,எத்தனை கொலைகள்? எத்தனை கொள்ளைகள்?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3838_எத்தனை_கொலைகள்_எத்தனை_கொள்ளைகள்/chapter.md,1de4b8534b9e9f551a79226b55fda700e43f78c1d24992eb13adb5331590d14a,translations/vol50/m50-l3838.en.md,translated
23,m50-l3839,3839,நிதிக் குழு உரையா? நிந்தனை உரையா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3839_நிதிக்_குழு_உரையா_நிந்தனை_உரையா/chapter.md,fb7fd1b2b5434034d8d3a39f76292ace1d6a6bbbad0e16a7f7385d9a5d3ba3bd,translations/vol50/m50-l3839.en.md,translated
24,m50-l3840,3840,ஒப்பிட்டுப் பார்த்து தெளிவடைய வேண்டுகிறேன்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3840_ஒப்பிட்டுப்_பார்த்து_தெளிவடைய_வேண்டுகிறேன்!/chapter.md,b274aaa7bce177c7f17c67cd4b2feccdb22fc437643c0e1f492554a50505ff8a,translations/vol50/m50-l3840.en.md,translated
25,m50-l3841,3841,"கரும்பு, நெல் விவசாயிகள் மீது காழ்ப்பு ஏன்?","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3841_கரும்பு,_நெல்_விவசாயிகள்_மீது_காழ்ப்பு_ஏன்/chapter.md",f2d6bf297cbc7b38f893cc7741c4c4a9d0dc62d6c9c13e8b46d455a27ee6e370,translations/vol50/m50-l3841.en.md,translated
26,m50-l3842,3842,"நெம்மேலித் திட்டம்; யாரால், எப்பொழுது?","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3842_நெம்மேலித்_திட்டம்;_யாரால்,_எப்பொழுது/chapter.md",ae28c5fd8d414dab6d95bdb3469dfdb883d9e91864bb3c44b794419f5e1e3de2,translations/vol50/m50-l3842.en.md,translated
27,m50-l3843,3843,கொடநாட்டிலிருந்து ஆட்சி பரிபாலனம்?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3843_கொடநாட்டிலிருந்து_ஆட்சி_பரிபாலனம்/chapter.md,43a581eebb69e3c90684753cb589e8ed6a87710ed4a9f99e91594ab214273fb0,translations/vol50/m50-l3843.en.md,translated
28,m50-l3844,3844,தமிழ்வழிக் கல்வியின் தலையிலும் கைவைத்ததால்?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3844_தமிழ்வழிக்_கல்வியின்_தலையிலும்_கைவைத்ததால்/chapter.md,cb0838a1e88c4ebe4eac1e7dcb9a5c283b5bef4bbec1b151d4887a601503f6fa,translations/vol50/m50-l3844.en.md,translated
29,m50-l3845,3845,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (1)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3845_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(1)/chapter.md",ee49d28073f788ce83f25e909808f52160e8af38ebecbab2ebe7fb6cf3abea2f,translations/vol50/m50-l3845.en.md,translated
30,m50-l3846,3846,"மேயருக்கும், மக்களுக்கும் ஒரு விளக்கம்!","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3846_மேயருக்கும்,_மக்களுக்கும்_ஒரு_விளக்கம்!/chapter.md",e65ebde44bfccd004722a10105b44eb03b8b6ba1a26fbda6e7164bdf202630b2,translations/vol50/m50-l3846.en.md,translated
31,m50-l3847,3847,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (2)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3847_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(2)/chapter.md",4c8b6c8c9e7ab025af717f6235038bebacd5b247412815eb56d8cef5b982c693,translations/vol50/m50-l3847.en.md,translated
32,m50-l3848,3848,"தை திங்கள் முதல் நாளே, தமிழர் புத்தாண்டுத் திருநாள்!","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3848_தை_திங்கள்_முதல்_நாளே,_தமிழர்_புத்தாண்டுத்_திருநாள்!/chapter.md",5a5c7bfe5ff05d988bf075125db90bec62822ff774e0df4aa6a2d78ceac04d87,translations/vol50/m50-l3848.en.md,translated
33,m50-l3849,3849,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (3)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3849_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(3)/chapter.md",4a5be4c166b79f37dae1c7cd15dd73aef6a11b0b10194f79fb4ec1a1ace26807,translations/vol50/m50-l3849.en.md,translated
34,m50-l3850,3850,அம்மாவின் வார்த்தைகள்; “அம்மா”வுக்கே வெளிச்சம்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3850_அம்மாவின்_வார்த்தைகள்;_“அம்மா”வுக்கே_வெளிச்சம்!/chapter.md,2f9ba9ae2df46cc6b53c2f392c456f3a3e0fea2244aa68206baf8ca647f36ef7,translations/vol50/m50-l3850.en.md,translated
35,m50-l3851,3851,மீனவர் பிரச்சினைக்கு விடிவு ஏற்படுமா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3851_மீனவர்_பிரச்சினைக்கு_விடிவு_ஏற்படுமா/chapter.md,f733c8776815594e60c2809f09cc143cddb87016e4e46656e5f181aa44478d0e,translations/vol50/m50-l3851.en.md,translated
36,m50-l3852,3852,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (4)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3852_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(4)/chapter.md",40b2b30a0d79a6d5b3846ca862e95724059116864f758a7debd39e65ba428e07,translations/vol50/m50-l3852.en.md,translated
37,m50-l3853,3853,இடஒதுக்கீட்டில் நீதிமன்றத்தின் மீது பழி சுமத்துவதா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3853_இடஒதுக்கீட்டில்_நீதிமன்றத்தின்_மீது_பழி_சுமத்துவதா/chapter.md,029c1b43b947602972bea9e7fd897be894bcd965e2e703256750851bd26e3d33,translations/vol50/m50-l3853.en.md,translated
38,m50-l3854,3854,மனிதநேயத் தீர்ப்பு!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3854_மனிதநேயத்_தீர்ப்பு!/chapter.md,24e982307875b0ebcb1747597730912126d80e77b8886e5281a09210d707e299,translations/vol50/m50-l3854.en.md,translated
39,m50-l3855,3855,பொம்மலாட்ட ஆட்சியைப் புரிந்து கொள்ளுங்கள்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3855_பொம்மலாட்ட_ஆட்சியைப்_புரிந்து_கொள்ளுங்கள்!/chapter.md,f4e8e8e24a2cc98a6031ed4495b92b7abb3483be5361eb9c27bb52519e662ef2,translations/vol50/m50-l3855.en.md,translated
40,m50-l3856,3856,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (5)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3856_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(5)/chapter.md",450ab609da878665aea6e743d118fa85639e9d42c23a05240c0183325b946da7,translations/vol50/m50-l3856.en.md,translated
41,m50-l3857,3857,"தமிழகத்தில் தொழில் வளர்ச்சி - அன்றும், இன்றும்!","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3857_தமிழகத்தில்_தொழில்_வளர்ச்சி_-_அன்றும்,_இன்றும்!/chapter.md",54565ca3481ea230a7d841cf78fbe20ad98dc2b29faad63e32c59eecc0f92d99,translations/vol50/m50-l3857.en.md,translated
42,m50-l3558,3558,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (6)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3558_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(6)/chapter.md",d215b62ab9cfd79dc0c52423b5517a110b0869f5c0fa4cbf5958e3931c3aafea,translations/vol50/m50-l3558.en.md,translated
43,m50-l3859,3859,பதில் உரையா? பழி உரையா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3859_பதில்_உரையா_பழி_உரையா/chapter.md,bac0cec830993cc7210df6e53ce327f5605426c604d8a39a2be6d91a87eab030,translations/vol50/m50-l3859.en.md,translated
44,m50-l3860,3860,பதில் உரையா? பழி உரையா? (2),v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3860_பதில்_உரையா_பழி_உரையா_(2)/chapter.md,c04b49374fbcbe97f47341b7d3ef96b6d0e06f98a7937f2f164325c004edf184,translations/vol50/m50-l3860.en.md,translated
45,m50-l3861,3861,"திருச்சி என்றாலே, திருப்புமுனை மாநாடுதானே? (7)","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3861_திருச்சி_என்றாலே,_திருப்புமுனை_மாநாடுதானே_(7)/chapter.md",bde3dc152747ac2e77e8f6828801412852d95227447b9160752f3cb394986268,translations/vol50/m50-l3861.en.md,translated
46,m50-l3862,3862,உதவாதினி ஒரு தாமதம்; உடனே எழுக தம்பி!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3862_உதவாதினி_ஒரு_தாமதம்;_உடனே_எழுக_தம்பி!/chapter.md,a8d9cc8d01fcfe4611844436dc64cb9436cfd57e6cf61e14c28916c3ec5cb591,translations/vol50/m50-l3862.en.md,translated
47,m50-l3863,3863,இஸ்லாமியர்களின் இனிய நண்பர் யார்?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3863_இஸ்லாமியர்களின்_இனிய_நண்பர்_யார்/chapter.md,10f91bc29c2bda3671a8d8ea187580b2ee787ba4d0c03cb142ea1ce7f0bd3de1,translations/vol50/m50-l3863.en.md,translated
48,m50-l3864,3864,நாடாளும் ஜெயாவே; நாவை அடக்குவது நல்லது!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3864_நாடாளும்_ஜெயாவே;_நாவை_அடக்குவது_நல்லது!/chapter.md,5757dc6e51daff336798feb814fd34a87691bc4c924aae9067fb323ff8faf31a,translations/vol50/m50-l3864.en.md,translated
49,m50-l3865,3865,கோயபல்ஸ் யார்? நானா? ஜெயலலிதாவா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3865_கோயபல்ஸ்_யார்_நானா_ஜெயலலிதாவா/chapter.md,0b0b435b0904a5118b8f3e48feeff7b7eea77d5cc003df99a910bc210c60f0a9,translations/vol50/m50-l3865.en.md,translated
50,m50-l3866,3866,நீதியே; நீ இன்னும் இருக்கின்றாயா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3866_நீதியே;_நீ_இன்னும்_இருக்கின்றாயா/chapter.md,06d386afe7c67f8d230a071f5e6cbe57e6cb5c55a8775657f3770b3b9afd6e5a,translations/vol50/m50-l3866.en.md,translated
