letter_number,date,tamil_title,source_pdf_pages,source_printed_pages,file,alignment_report,release_status,source_note
0013,1968-11-09,மேயர் தேர்தல் நேரம் - நிலை - நேர்த்தியான முடிவு!,073-077,073-077,letters/0013-mayor-therthal-neram-nilai-nerthiyana-mudivu.md,alignment/ALIGNMENT_0011_0020.md,released,
0014,1968-11-11,‘பகைமரம்’ தழைக்க விடோம்!,078-081,078-081,letters/0014-pagaimaram-thazhaikka-vidom.md,alignment/ALIGNMENT_0011_0020.md,released,
0015,1968-11-14,நம்பிக்கையில்லாத் தீர்மானம் - நாடாளுமன்ற நிகழ்ச்சி!,082-085,082-085,letters/0015-nambikkaiyillath-theermanam-naadalumandra-nigazhchi.md,alignment/ALIGNMENT_0011_0020.md,released,
0016,1968-11-16,யார் அந்த உணவு அமைச்சர்?,086-089,086-089,letters/0016-yaar-antha-unavu-amaichar.md,alignment/ALIGNMENT_0011_0020.md,released,
0017,1968-11-18,கிளம்பிற்றுக்காண் தமிழச் சிங்கக் கூட்டம்!,090-093,090-093,letters/0017-kilambitrukkan-tamizhach-singak-koottam.md,alignment/ALIGNMENT_0011_0020.md,released,
0018,1968-11-22,கழுதையும் - பன்றியும்!,094-096,094-096,letters/0018-kazhuthaiyum-panriyum.md,alignment/ALIGNMENT_0011_0020.md,released,
0019,1968-11-25,“பசுத்தோல் வேங்கை பாராய்!”,097-100,097-100,letters/0019-pasuthol-vengai-paarai.md,alignment/ALIGNMENT_0011_0020.md,released,
0020,1968-11-26,“தமிழ்த்தாயே அவர்களை மன்னித்துவிடு!”,101-104,101-104,letters/0020-tamizhthaaye-avargalai-mannithuvidu.md,alignment/ALIGNMENT_0011_0020.md,released,
0021,1968-11-28,‘தமிழ் நாடு’ ஒரு முழு விளக்கம்!,105-116,105-116,letters/0021-tamizh-naadu-oru-muzhu-vilakkam.md,alignment/ALIGNMENT_0021_0030.md,released,
0022,1968-12-02,கண்கள் திறக்க ஒரு கதை!,117-118,117-118,letters/0022-kangal-thirakka-oru-kathai.md,alignment/ALIGNMENT_0021_0030.md,released,
0023,1968-12-05,பரிதாபப்படுகிறேன்!,119,119,letters/0023-parithaabappadugiren.md,alignment/ALIGNMENT_0021_0030.md,released,
0024,1968-12-07,“அரசியல் மோசடியாம் - அறிவிக்கிறார்; ஆழ்வப் பிறவி!”,120-122,120-122,letters/0024-arasiyal-mosadiyaam-arivikkirar-aazhvap-piravi.md,alignment/ALIGNMENT_0021_0030.md,released,
0025,1968-12-09,இந்தியும் மொரார்ஜி தேசாயும்!,123-124,123-124,letters/0025-indhiyum-morarji-desaiyum.md,alignment/ALIGNMENT_0021_0030.md,released,
0026,1968-12-20,தகுந்த பாடம் தரவேண்டாமா?,125-126,125-126,letters/0026-thaguntha-paadam-tharavendamaa.md,alignment/ALIGNMENT_0021_0030.md,released,
0027,1968-12-26,காட்சி காண அல்ல - களம் காண!,127-128,127-128,letters/0027-kaatchi-kaana-alla-kalam-kaana.md,alignment/ALIGNMENT_0021_0030.md,released,
0028,1968-12-28,வெண்மணிச் சம்பவம் ஒரு விளக்கம்!,129-131,129-131,letters/0028-venmanich-sambavam-oru-vilakkam.md,alignment/ALIGNMENT_0021_0030.md,released,source-printed date 28-12-1968 controls over conflicting legacy metadata
0029,1969-01-11,காங்கிரஸ் வெற்றியும் இந்தித் திணிப்பும்!,132-133,132-133,letters/0029-kangiras-vetriyum-indhith-thinippum.md,alignment/ALIGNMENT_0021_0030.md,released,
0030,1969-01-17,பாழடைந்த மண்டபமும் வெளவால்களும்!,134-135,134-135,letters/0030-paazhadaintha-mandapamum-velavaalgalum.md,alignment/ALIGNMENT_0021_0030.md,released,
0031,1969-01-18,வேங்கை போடும் வெள்ளாடு வேடம்!,136-140,136-140,letters/0031-vengai-podum-vellaadu-vedam.md,alignment/ALIGNMENT_0031_0040.md,released,
0032,1969-01-28,காமராஜரின் கடற்கரைப் பேச்சின் பொருள் என்ன?,141-142,141-142,letters/0032-kamarajarin-kadarkaraip-pechchin-porul-enna.md,alignment/ALIGNMENT_0031_0040.md,released,
0033,1971-01-01,தெளிந்திடும் நீரோடை!,143-147,143-147,letters/0033-thelinthidum-neerodai.md,alignment/ALIGNMENT_0031_0040.md,released,
0034,1971-01-07,வென்றிட வேறு யாருளர்?,148-151,148-151,letters/0034-vendridha-veru-yaarular.md,alignment/ALIGNMENT_0031_0040.md,released,
0035,1971-01-10,உனக்காக விழித்திருப்போம்!,152-155,152-155,letters/0035-unakkaaga-vizhithiruppom.md,alignment/ALIGNMENT_0031_0040.md,released,
0036,1971-04-16,"“கிழச் சிங்கம், கிளறிய நெஞ்சம்!”",156-160,156-160,letters/0036-kizha-singam-kilariya-nenjam.md,alignment/ALIGNMENT_0031_0040.md,released,
0037,1971-04-17,நீயும் நானும் தூங்குவோமா?,161-164,161-164,letters/0037-neeyum-naanum-thoonguvomaa.md,alignment/ALIGNMENT_0031_0040.md,released,
0038,1971-04-18,இன்றே தொடங்கிடுக பணி!,165-168,165-168,letters/0038-indre-thodangiduga-pani.md,alignment/ALIGNMENT_0031_0040.md,released,
0039,1971-04-22,“கோவை - ஒரு கனி! நீ ஒரு கிளி!”,169-173,169-173,letters/0039-kovai-oru-kani-nee-oru-kili.md,alignment/ALIGNMENT_0031_0040.md,released,
0040,1971-04-23,அண்ணன்-கண்ணன் எங்கே?,174-177,174-177,letters/0040-annan-kannan-enge.md,alignment/ALIGNMENT_0031_0040.md,released,
0041,1971-05-26,நான் கேட்கும் பிச்சை!,178-180,178-180,letters/0041-naan-ketkum-pichchai.md,alignment/ALIGNMENT_0041_0050.md,released,
0042,1972-07-10,ஜூலை 15!,181-183,181-183,letters/0042-july-15.md,alignment/ALIGNMENT_0041_0050.md,released,
0043,1972-07-17,பெருமை எது?,184-186,184-186,letters/0043-perumai-ethu.md,alignment/ALIGNMENT_0041_0050.md,released,
0044,1972-07-22,வழக்கு ஜோடனை!,187-191,187-191,letters/0044-vazhakku-jodanai.md,alignment/ALIGNMENT_0041_0050.md,released,
0045,1972-08-09,மதுரை மாட்சி (1),192-195,192-195,letters/0045-madurai-maatchi-1.md,alignment/ALIGNMENT_0041_0050.md,released,
0046,1972-08-10,மதுரை மாட்சி (2),196-199,196-199,letters/0046-madurai-maatchi-2.md,alignment/ALIGNMENT_0041_0050.md,released,
0047,1972-08-29,“தாயே எட்டடி என்றால்...”,200-202,200-202,letters/0047-thaaye-ettadi-endraal.md,alignment/ALIGNMENT_0041_0050.md,released,
0048,1972-10-10,"பாவம்; பண்பாடு, படும் பாடு!",203-205,203-205,letters/0048-paavam-panpaadu-padum-paadu.md,alignment/ALIGNMENT_0041_0050.md,released,printed சென்னை. / 10.10.1972 preserved; no later date inferred
0049,1972-10-20,அன்பகம்! அறிவகம்!,206-209,206-209,letters/0049-anbagam-arivagam.md,alignment/ALIGNMENT_0041_0050.md,released,
0050,1972-10-21,நமக்குப் புரியவில்லை!,210-213,210-213,letters/0050-namakkup-puriyavillai.md,alignment/ALIGNMENT_0041_0050.md,released,
0051,1972-10-23,அகல்விளக்கு கையில் அண்ணன் மொழி நெஞ்சில்!,214-218,214-218,letters/0051-agalvilakku-kaiyil-annan-mozhi-nenjil.md,alignment/ALIGNMENT_0051_0060.md,released,
0052,1973-01-23,பிப்ரவரி மூன்றாம் நாள் !,219-222,219-222,letters/0052-february-moondram-naal.md,alignment/ALIGNMENT_0051_0060.md,released,
0053,1973-05-12,நட வேகமாக! நமக்கே வெற்றி!!,223-226,223-226,letters/0053-nada-vegamaaga-namakke-vetri.md,alignment/ALIGNMENT_0051_0060.md,released,
0054,1973-05-13,ஐந்தாம் ஜார்ஜா? ஆறாம் ஜார்ஜா?,227-229,227-229,letters/0054-aindhaam-george-aa-aaraam-george-aa.md,alignment/ALIGNMENT_0051_0060.md,released,
0055,1973-05-23,“அரிதாரம் கலையும்!”,230-232,230-232,letters/0055-arithaaram-kalaiyum.md,alignment/ALIGNMENT_0051_0060.md,released,
0056,1973-05-24,சிந்தனைக்கு!,233-235,233-235,letters/0056-sinthanaikku.md,alignment/ALIGNMENT_0051_0060.md,released,
0057,1973-05-28,“பிறந்த நாள் வேண்டுகோள்!”,236-238,236-238,letters/0057-pirantha-naal-vendukol.md,alignment/ALIGNMENT_0051_0060.md,released,
0058,1973-05-29,“நடக்கின்ற ஆச்சரியம்!”,239-240,239-240,letters/0058-nadakkindra-aachariyam.md,alignment/ALIGNMENT_0051_0060.md,released,
0059,1973-05-30,இதுதான் உலகம்!,241-245,241-245,letters/0059-idhudhaan-ulagam.md,alignment/ALIGNMENT_0051_0060.md,released,
0060,1973-06-02,“கண்ணீர் மடல்!”,246-249,246-249,letters/0060-kanneer-madal.md,alignment/ALIGNMENT_0051_0060.md,released,
0061,1973-06-15,“ஒழுங்கான கணக்கு!”,250-252,250-252,letters/0061-ozhungaana-kanakku.md,alignment/ALIGNMENT_0061_0070.md,released,
0062,1973-06-24,உண்மை! உண்மை!!,253-255,253-255,letters/0062-unmai-unmai.md,alignment/ALIGNMENT_0061_0070.md,released,
0063,,“கிலுகிலுப்பை!”,256-259,256-259,letters/0063-kilukiluppai.md,alignment/ALIGNMENT_0061_0070.md,released,no printed date; intentionally undated
0064,1973-07-02,பதவி-துறவி!,260-262,260-262,letters/0064-padhavi-thuravi.md,alignment/ALIGNMENT_0061_0070.md,released,
0065,1973-07-23,உன் பெயர் எங்கே?,263-265,263-265,letters/0065-un-peyar-enge.md,alignment/ALIGNMENT_0061_0070.md,released,
0066,1973-10-02,“அண்ணன் எழுதிய மடல்!”,266-268,266-268,letters/0066-annan-ezhuthiya-madal.md,alignment/ALIGNMENT_0061_0070.md,released,
0067,1973-11-29,நடக்கட்டும் நாடகம்!,269-270,269-270,letters/0067-nadakkattum-naadagam.md,alignment/ALIGNMENT_0061_0070.md,released,
0068,1973-12-03,“டெல்லி லாயத்தில்!”,271-272,271-272,letters/0068-delhi-laayathil.md,alignment/ALIGNMENT_0061_0070.md,released,
0069,1973-12-07,படையெடுப்பு பலிக்குமா?,273-274,273-274,letters/0069-padaiyeduppu-palikuma.md,alignment/ALIGNMENT_0061_0070.md,released,
0070,1973-12-11,உணரச் செய்வோம்!,275-276,275-276,letters/0070-unarach-seivom.md,alignment/ALIGNMENT_0061_0070.md,released,source-printed English judicial quotation retained verbatim
0071,1973-12-12,காலக் கருவூலம்!,277-278,277-278,letters/0071-kaalak-karuvoolam.md,alignment/ALIGNMENT_0071_0080.md,released,
0072,1973-12-13,ஒன்று சொல்க!,279-280,279-280,letters/0072-ondru-solga.md,alignment/ALIGNMENT_0071_0080.md,released,
0073,1973-12-15,புன்னகையும் பெருமூச்சும்!,281-282,281-282,letters/0073-punnagaiyum-perumoochum.md,alignment/ALIGNMENT_0071_0080.md,released,
0074,1973-12-16,குறள் மறவோம்!,283-284,283-284,letters/0074-kural-maravom.md,alignment/ALIGNMENT_0071_0080.md,released,
0075,1973-12-18,உன் எதிரே!,285-286,285-286,letters/0075-un-ethire.md,alignment/ALIGNMENT_0071_0080.md,released,
0076,1973-12-20,தட்டிக் கேட்கலாமா?,287-288,287-288,letters/0076-thattik-ketkalamaa.md,alignment/ALIGNMENT_0071_0080.md,released,
0077,1973-12-26,பெரியாரின் வெற்றி!,289-290,289-290,letters/0077-periyarin-vetri.md,alignment/ALIGNMENT_0071_0080.md,released,
0078,1973-12-28,நம்மை வென்றாரா?,291-292,291-292,letters/0078-nammai-vendraaraa.md,alignment/ALIGNMENT_0071_0080.md,released,
0079,1974-01-01,இருபதாயிரம் பாடி வீடுகள்!,293-295,293-295,letters/0079-irupathaayiram-paadi-veedugal.md,alignment/ALIGNMENT_0071_0080.md,released,
0080,1974-01-04,கொள்கை மலர்கள்,296-297,296-297,letters/0080-kolgai-malargal.md,alignment/ALIGNMENT_0071_0080.md,released,
0081,1974-01-10,தெள்ளிய ஆலின் சிறு பழத்தொரு விதை!,298-300,298-300,letters/0081-thelliya-aalin-siru-pazhathoru-vithai.md,alignment/ALIGNMENT_0081_0090.md,released,
0082,1974-01-14,பொங்கல் உறுதி!,301,301,letters/0082-pongal-uruthi.md,alignment/ALIGNMENT_0081_0090.md,released,
0083,1974-02-11,காண வருகிறேன் உன்னை!,302-304,302-304,letters/0083-kaana-varugiren-unnai.md,alignment/ALIGNMENT_0081_0090.md,released,
0084,1974-03-05,‘தொய்வு இல்லை! தொடர்க பயணம்!’,305-307,305-307,letters/0084-thoyvu-illai-thodarga-payanam.md,alignment/ALIGNMENT_0081_0090.md,released,
0085,1974-03-19,“எல்லா மலர்களும் ரோஜா மலர்களே!”,308-309,308-309,letters/0085-ella-malargalum-roja-malargale.md,alignment/ALIGNMENT_0081_0090.md,released,
0086,1974-05-01,மே தின வாழ்த்து!,310-312,310-312,letters/0086-may-thina-vaazhthu.md,alignment/ALIGNMENT_0081_0090.md,released,
0087,1974-05-10,‘நமது நிலை’!,313-315,313-315,letters/0087-namathu-nilai.md,alignment/ALIGNMENT_0081_0090.md,released,
0088,1974-05-15,என் பிறந்த நாளில்...!,316-318,316-318,letters/0088-en-pirantha-naalil.md,alignment/ALIGNMENT_0081_0090.md,released,
0089,1974-05-18,“மறவாதே!”,319-321,319-321,letters/0089-maravathe.md,alignment/ALIGNMENT_0081_0090.md,released,
0090,1974-06-05,கோடையிலே...!,322-325,322-325,letters/0090-kodaiyile.md,alignment/ALIGNMENT_0081_0090.md,released,
0091,1974-06-16,நமது விழாக்கள்!,326-327,326-327,letters/0091-namathu-vizhakkal.md,alignment/ALIGNMENT_0091_0100.md,released,
0092,1974-06-23,பயணம் தொடரட்டும்!,328-329,328-329,letters/0092-payanam-thodarattum.md,alignment/ALIGNMENT_0091_0100.md,released,
0093,1974-07-28,பிறந்த நாள் விழாவும் மறந்த சில விவரங்களும்!,330-334,330-334,letters/0093-pirantha-naal-vizhavum-marantha-sila-vivarangalum.md,alignment/ALIGNMENT_0091_0100.md,released,
0094,1974-08-04,நேரமும் நினைப்பும்!,335-338,335-338,letters/0094-neramum-ninaippum.md,alignment/ALIGNMENT_0091_0100.md,released,
0095,1974-08-11,‘மாம்பழ மங்கை!’,339-342,339-342,letters/0095-mampazha-mangai.md,alignment/ALIGNMENT_0091_0100.md,released,
0096,1974-09-01,அதே தேதிகள்!,343-344,343-344,letters/0096-athe-thetikal.md,alignment/ALIGNMENT_0091_0100.md,released,
0097,1974-09-08,இன்றே தயாராகு!,345-346,345-346,letters/0097-indre-thayaaragu.md,alignment/ALIGNMENT_0091_0100.md,released,
0098,1974-09-15,உயர்த்திடுவோம் தோள்!,347-350,347-350,letters/0098-uyarthiduvom-thol.md,alignment/ALIGNMENT_0091_0100.md,released,
0099,1974-09-22,வழி மேல் விழி...,351-353,351-353,letters/0099-vazhi-mel-vizhi.md,alignment/ALIGNMENT_0091_0100.md,released,
0100,1974-09-25,அழைக்கிறேன் - வா! அன்பே வா!,354-358,354-358,letters/0100-azhaikkiren-vaa-anbe-vaa.md,alignment/ALIGNMENT_0091_0100.md,released,
0101,1974-09-29,உயிரே! உடன்பிறப்பே! வா! வா!,359-360,359-360,letters/0101-uyire-udanpirappe-vaa-vaa.md,alignment/ALIGNMENT_0101_0110.md,released,
0102,1974-10-06,என் காணிக்கை!,361-364,361-364,letters/0102-en-kaanikkai.md,alignment/ALIGNMENT_0101_0110.md,released,
0103,1974-10-13,"பார், பார்-இதோ பார்! இந்தியா பார்!",365-368,365-368,letters/0103-paar-paar-idho-paar-indhiya-paar.md,alignment/ALIGNMENT_0101_0110.md,released,
0104,1974-10-26,‘கல்கி’யின் கண்ணோட்டம்!,369-373,369-373,letters/0104-kalkiyin-kannotam.md,alignment/ALIGNMENT_0101_0110.md,released,
0105,1974-10-27,‘கல்கி’யின் கண்ணோட்டம் (2),374-379,374-379,letters/0105-kalkiyin-kannotam-2.md,alignment/ALIGNMENT_0101_0110.md,released,
0106,1974-11-03,‘கல்கி’யின் கண்ணோட்டம்(3),380-383,380-383,letters/0106-kalkiyin-kannotam-3.md,alignment/ALIGNMENT_0101_0110.md,released,
0107,1974-11-10,வாழ்க-உன் புன்னகை!,384-387,384-387,letters/0107-vaazhga-un-punnagai.md,alignment/ALIGNMENT_0101_0110.md,released,
0108,1974-11-17,வாண வேடிக்கை!,388-391,388-391,letters/0108-vaana-vedikkai.md,alignment/ALIGNMENT_0101_0110.md,released,
0109,1974-11-24,அவள் ஒரு தொடர்கதை!,392-395,392-395,letters/0109-aval-oru-thodarkathai.md,alignment/ALIGNMENT_0101_0110.md,released,actual PDF-392 heading அவள் ஒரு தொடர்கதை! controls over contents variant அவள் ஒரு தொடற்கதை!; opaque source wording unreconstructed
0110,1974-12-01,கயிற்றில் தொங்கிய கணபதி!,396-400,396-400,letters/0110-kayittril-thongiya-ganapathi.md,alignment/ALIGNMENT_0101_0110.md,released,letter ends on PDF 400; PDF 401 is non-letter back cover
