order,chapter_id,letter_number,tamil_title,source_file,source_sha256,translation_file,status
11,m52-l3926,3926,எத்தனை தொழில்களைத்தான் மூடுவது?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3926_எத்தனை_தொழில்களைத்தான்_மூடுவது/chapter.md,f50b210bf9fd54889cceb563f84b44b296de6aa10be5af876021977c6d1d6526,translations/vol52/m52-l3926.en.md,translated
12,m52-l3927,3927,ஒய்யாரக் கொண்டையாம்; தாழம்பூவாம்! (1),v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3927_ஒய்யாரக்_கொண்டையாம்;_தாழம்பூவாம்!_(1)/chapter.md,49972955abba64103154078ecd1228ca5f6746208f0bf574eae6cfaf926bc197,translations/vol52/m52-l3927.en.md,translated
13,m52-l3928,3928,ஒய்யாரக் கொண்டையாம்; தாழம்பூவாம்! (2),v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3928_ஒய்யாரக்_கொண்டையாம்;_தாழம்பூவாம்!_(2)/chapter.md,d84eafc16191ca76c7224e151c4d1e64b3d73836cbd05165c465db581d13e938,translations/vol52/m52-l3928.en.md,translated
14,m52-l3929,3929,ஒய்யாரக் கொண்டையாம்; தாழம்பூவாம்! (3),v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3929_ஒய்யாரக்_கொண்டையாம்;_தாழம்பூவாம்!_(3)/chapter.md,4461b1df472568d9132b670dfc5294b8397e8e93b0594d3b94198e05584cd0b1,translations/vol52/m52-l3929.en.md,translated
15,m52-l3930,3930,ஒய்யாரக் கொண்டையாம்; தாழம்பூவாம்! (4),v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3930_ஒய்யாரக்_கொண்டையாம்;_தாழம்பூவாம்!_(4)/chapter.md,0c44860cdc7eeeed5257bfac3e7b35ca84b28a8286c71478a2893043bea4be80,translations/vol52/m52-l3930.en.md,translated
16,m52-l3931,3931,ஒய்யாரக் கொண்டையாம்; தாழம்பூவாம்! (5),v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3931_ஒய்யாரக்_கொண்டையாம்;_தாழம்பூவாம்!_(5)/chapter.md,b8f3af1847deee0166b03d692a37bbf628bc24e4b7caed9a7b3390e14ee84e99,translations/vol52/m52-l3931.en.md,translated
17,m52-l3932,3932,ஒய்யாரக் கொண்டையாம்; தாழம்பூவாம்! (6),v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3932_ஒய்யாரக்_கொண்டையாம்;_தாழம்பூவாம்!_(6)/chapter.md,e974374dcfea511994a89796fbfe531d497c5528c29b41a510f29b876418bd55,translations/vol52/m52-l3932.en.md,translated
18,m52-l3933,3933,பதவி நிலைத்திடவாவது; பதறி எழுவர்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3933_பதவி_நிலைத்திடவாவது;_பதறி_எழுவர்!/chapter.md,214ea5b1e5ccb012ed7b664978b95814f2802e0a15cfe9783fffbb2268062bdf,translations/vol52/m52-l3933.en.md,translated
19,m52-l3934,3934,நம்பிக்கைக் கருவூலம்தானே நமது கழகம்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3934_நம்பிக்கைக்_கருவூலம்தானே_நமது_கழகம்!/chapter.md,870ed85ac8aa43c1fc806dc048642505fb66ddfd3b85ef2019ea83da6d008ae9,translations/vol52/m52-l3934.en.md,translated
20,m52-l3935,3935,ஜனநாயகம் சரிவரச் செயல்பட!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3935_ஜனநாயகம்_சரிவரச்_செயல்பட!/chapter.md,249b8648e91f099795f59fee47008e16df4205c69e57cd3fe95afdf59e3b013e,translations/vol52/m52-l3935.en.md,translated
21,m52-l3936,3936,"கேடு கெட்ட ஆட்சியும், “பஜனை” பாடும் சில ஏடுகளும்!","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3936_கேடு_கெட்ட_ஆட்சியும்,_“பஜனை”_பாடும்_சில_ஏடுகளும்!/chapter.md",8541295548472a0058a5b33aa1b187fdd3de7c93f43ac00516c90ce4cd66af40,translations/vol52/m52-l3936.en.md,translated
22,m52-l3937,3937,செயல்படுகிற ஆட்சி சீக்கிரம் வருமா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3937_செயல்படுகிற_ஆட்சி_சீக்கிரம்_வருமா/chapter.md,15c174128fee06fef2fb51536e7bea5e427d40fa653ae4cdf1f38a8413ef8e45,translations/vol52/m52-l3937.en.md,translated
23,m52-l3938,3938,தொடர்ந்து மௌன சாட்சிகளாக இருப்பதா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3938_தொடர்ந்து_மௌன_சாட்சிகளாக_இருப்பதா/chapter.md,46e2fc3ec02c5c36746305349ab66ec9fafe5ae2bc55ad4115e3c6586d907ae1,translations/vol52/m52-l3938.en.md,translated
24,m52-l3939,3939,"இருள் அகலவும், இதயங்கள் மலரவும் இதோ திட்டங்கள்!","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3939_இருள்_அகலவும்,_இதயங்கள்_மலரவும்_இதோ_திட்டங்கள்!/chapter.md",5e0fb26671f2b0209fae694c9b0b43bc76999203214366d75d4aa4de96dc3684,translations/vol52/m52-l3939.en.md,translated
25,m52-l3940,3940,ஆச்சார்யா தரும் அதிர்ச்சித் தகவல்கள்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3940_ஆச்சார்யா_தரும்_அதிர்ச்சித்_தகவல்கள்!/chapter.md,fb32abb572f63516d20203ffc473a2164191216261b4846264d3919a1f73d9e5,translations/vol52/m52-l3940.en.md,translated
26,m52-l3941,3941,நல்ல சமயம் இது; நழுவ விடலாமா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3941_நல்ல_சமயம்_இது;_நழுவ_விடலாமா/chapter.md,75e492a46a9b7b1498d91d4177ff82bf7e80e052671937477979b7307b0a2071,translations/vol52/m52-l3941.en.md,translated
27,m52-l3942,3942,அன்று நடந்தது என்ன? என்ன?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3942_அன்று_நடந்தது_என்ன_என்ன/chapter.md,be187f514d8c287591a338d247d99c46abdf04590f5ca07cc2be7322abe5207d,translations/vol52/m52-l3942.en.md,translated
28,m52-l3943,3943,"பன்னிருக்கு அழகு, மௌனம் காத்தல்!","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3943_பன்னிருக்கு_அழகு,_மௌனம்_காத்தல்!/chapter.md",45f382f9113d11bd9423391a1034bbfaca73161e246fad05088921acbcdac0cf,translations/vol52/m52-l3943.en.md,translated
29,m52-l3944,3944,எத்தனை காலம்தான் ஏமாற்றுவார் இந்த நாட்டிலே!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3944_எத்தனை_காலம்தான்_ஏமாற்றுவார்_இந்த_நாட்டிலே!/chapter.md,50896602cbfc7a0b493e7754d85f0fb6893b8e7de0040ffb5d740c26a4ad2e88,translations/vol52/m52-l3944.en.md,translated
30,m52-l3945,3945,எல்லோரின் மனத்திலும் எழுந்துள்ள அய்யப்பாடு!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3945_எல்லோரின்_மனத்திலும்_எழுந்துள்ள_அய்யப்பாடு!/chapter.md,1007044cfd4f0c93645888c1c950773798b34c06f2868d3f55bdbdded8bc918c,translations/vol52/m52-l3945.en.md,translated
31,m52-l3946,3946,இடர் பல கடந்து; இந்தத் தொடர் பணியை ஆற்றுவோம் வாரீர்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3946_இடர்_பல_கடந்து;_இந்தத்_தொடர்_பணியை_ஆற்றுவோம்_வாரீர்!/chapter.md,af226fe7dc2fc8129a036637fb3309c3197512c0620a4c8d5f51580667cfc0bd,translations/vol52/m52-l3946.en.md,translated
32,m52-l3947,3947,என்றும் வாழும் இந்தக் கழகம்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3947_என்றும்_வாழும்_இந்தக்_கழகம்!/chapter.md,a8895a4478268b49e8cec2dbefa44553699a7cd8ba0ac1f7413355a5c26dbba0,translations/vol52/m52-l3947.en.md,translated
33,m52-l3948,3948,வெட்கமில்லை; வெட்கமில்லை; யாருக்கும் வெட்கமில்லை!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3948_வெட்கமில்லை;_வெட்கமில்லை;_யாருக்கும்_வெட்கமில்லை!/chapter.md,5b59860d84457a29068c660e2b2c680a47882b7c495447d357e433fdd2547858,translations/vol52/m52-l3948.en.md,translated
34,m52-l3949,3949,தை முதல் நாளே; தமிழர் புத்தாண்டு திருநாள்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3949_தை_முதல்_நாளே;_தமிழர்_புத்தாண்டு_திருநாள்!/chapter.md,4a370ff5022e252d008ab772e247cd896e112684bbd46ba77db761f6770005e7,translations/vol52/m52-l3949.en.md,translated
35,m52-l3950,3950,முன்னாள் பிரதமர்களின் உறுதிமொழி காப்பாற்றப்படுமா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3950_முன்னாள்_பிரதமர்களின்_உறுதிமொழி_காப்பாற்றப்படுமா/chapter.md,0dde5a32309b1ca156e9cb44337646f771a79f253a5a825bffc2867405e64c37,translations/vol52/m52-l3950.en.md,translated
36,m52-l3951,3951,அகதிகள் பிரச்சினையில் அ.தி.மு.க. அரசின் பொறுப்பற்ற செயல்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3951_அகதிகள்_பிரச்சினையில்_அ.தி.மு.க._அரசின்_பொறுப்பற்ற_செயல்!/chapter.md,bce3f82f3b54be3c4b819eb953d81e5c80e018c28e00181f41cbfee32c2f8ec1,translations/vol52/m52-l3951.en.md,translated
37,m52-l3952,3952,நம்பிக்கை வீண் போகலாமா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3952_நம்பிக்கை_வீண்_போகலாமா/chapter.md,ded1b545822907eec04c0ee9f3629642238cea4c8a09c13b280953b9cd16cf40,translations/vol52/m52-l3952.en.md,translated
38,m52-l3953,3953,அதிர்ச்சி வைத்தியம் அவசியம் அல்லவா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3953_அதிர்ச்சி_வைத்தியம்_அவசியம்_அல்லவா/chapter.md,674c7476294398b08bc660407750d232c7634b86191ad7798a96a694e4563cf4,translations/vol52/m52-l3953.en.md,translated
39,m52-l3954,3954,நீதித்துறை வழங்கியது பாராட்டுரையா? இடித்துரையா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3954_நீதித்துறை_வழங்கியது_பாராட்டுரையா_இடித்துரையா/chapter.md,f43427f3b2feea6a5421c4217ac93cf4a67008ce1be56f335b15c8f6bde730bf,translations/vol52/m52-l3954.en.md,translated
40,m52-l3955,3955,பூ சுற்றும் கதை எவ்வளவு நாளைக்கு?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3955_பூ_சுற்றும்_கதை_எவ்வளவு_நாளைக்கு/chapter.md,af4c80f6e1c6c65a02ca916abc88827fed7b88c2a96b830936cc528ddff25f9d,translations/vol52/m52-l3955.en.md,translated
41,m52-l3956,3956,"அ.தி.மு.க. ஆட்சியில் இருட்டு, புரட்டு - அனைத்தும் உண்டு!","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3956_அ.தி.மு.க._ஆட்சியில்_இருட்டு,_புரட்டு_-_அனைத்தும்_உண்டு!/chapter.md",f19013b3afd69283ad341519987b3612b06a92ee3aa8fbd38f3344c0288d3517,translations/vol52/m52-l3956.en.md,translated
42,m52-l3957,3957,கொள்கை காத்திட குவியட்டும் தேர்தல் நிதி!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3957_கொள்கை_காத்திட_குவியட்டும்_தேர்தல்_நிதி!/chapter.md,db1edc54dab8a3c14def24f8c869d40fc22f336b2f44a88c13f1eb9ea887d322,translations/vol52/m52-l3957.en.md,translated
43,m52-l3958,3958,நீதி என்றும் வெல்லும்; நிச்சயமாக வெல்லும்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3958_நீதி_என்றும்_வெல்லும்;_நிச்சயமாக_வெல்லும்!/chapter.md,f9dc4a4d66d4b7f72d7de2b150218958ba8d66d50e27834178850e8a0a069740,translations/vol52/m52-l3958.en.md,translated
44,m52-l3959,3959,ஆர்ப்பாட்டப் போர்ப்பாட்டு!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3959_ஆர்ப்பாட்டப்_போர்ப்பாட்டு!/chapter.md,edead7b23d7d8604058fbf014973a5b305cf622698a4cf82f793a83fac744cc1,translations/vol52/m52-l3959.en.md,translated
45,m52-l3960,3960,"“நீதியே, நீ இன்னும் இருக்கின்றாயா?”","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3960_“நீதியே,_நீ_இன்னும்_இருக்கின்றாயா_”/chapter.md",19e70ee425b918515c23cb133728b3c998d54227b5805a12f206da19ce52bc5a,translations/vol52/m52-l3960.en.md,translated
46,m52-l3961,3961,கூரை ஏறிக் கோழி பிடிக்க முடியாதவர்கள்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3961_கூரை_ஏறிக்_கோழி_பிடிக்க_முடியாதவர்கள்!/chapter.md,383df9683ed3944933c672b556c742306445963b6687255a20237babcb7b3956,translations/vol52/m52-l3961.en.md,translated
47,m52-l3962,3962,"மெட்ரோ, மோனோ ரெயில் திட்டங்கள் - ஒரு விளக்கம்!","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3962_மெட்ரோ,_மோனோ_ரெயில்_திட்டங்கள்_-_ஒரு_விளக்கம்!/chapter.md",fc2b692c48eefc5aea3b0981dfd23ded039b649d8b3e0f52ad2d28ea5bb8c7ca,translations/vol52/m52-l3962.en.md,translated
48,m52-l3963,3963,"அரசு அலுவலர்களும், அ.தி.மு.க. அரசும்,","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3963_அரசு_அலுவலர்களும்,_அ.தி.மு.க._அரசும்,/chapter.md",94c39237cba3b93322b3f925329c1ab0d67f4f871a5868cd5bad72f2a18177e2,translations/vol52/m52-l3963.en.md,translated
49,m52-l3964,3964,இந்த ஆட்சிக்குத்தான் எத்தனை பெயர்கள்?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3964_இந்த_ஆட்சிக்குத்தான்_எத்தனை_பெயர்கள்/chapter.md,441b405f179c32956eb0b37c5725713c741fd21e099c7c27d910ccce89363e98,translations/vol52/m52-l3964.en.md,translated
50,m52-l3965,3965,காயப்படுத்தப்படும் நீதி; கட்டாயம் எழுந்து நின்று ஜெயிக்கும்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3965_காயப்படுத்தப்படும்_நீதி;_கட்டாயம்_எழுந்து_நின்று_ஜெயிக்கும்!/chapter.md,1d17b245795aa37729d1ac262f0f948cf423d46ccb9d6539733ca52afa4cb74e,translations/vol52/m52-l3965.en.md,translated
