letter_number,occurrence,date,english_title,source_pdf_pages,translation_status,bilingual_alignment_status,editorial_review_status,final_release_status,source_incomplete,file
3378,1,2009-03-08,Can That Kural Be Forgotten?,099-105,source-checked,aligned,reviewed,verified,false,letters/3378-can-that-kural-be-forgotten.md
3379,1,2009-03-10,Illness and I — Diary,106-112,source-checked,aligned,reviewed,verified,false,letters/3379-illness-and-i-diary.md
3380,1,2009-03-11,Illness and I — Diary (2),113-120,source-checked,aligned,reviewed,verified,false,letters/3380-illness-and-i-diary-2.md
3381,1,2009-03-12,Illness and I — Diary (3),121-130,source-checked,aligned,reviewed,verified,false,letters/3381-illness-and-i-diary-3.md
3382,1,2009-03-13,Illness and I — Diary (4),131-140,source-checked,aligned,reviewed,verified,false,letters/3382-illness-and-i-diary-4.md
3383,1,2009-03-14,Illness and I — Diary (5),141-149,source-checked,aligned,reviewed,verified,false,letters/3383-illness-and-i-diary-5.md
3384,1,2009-03-15,Illness and I — Diary (6),150-160,source-checked,aligned,reviewed,verified,false,letters/3384-illness-and-i-diary-6.md
3385,1,2009-03-18,Prepare — for the Front of the Democratic Struggle!,161-168,source-checked,aligned,reviewed,verified,false,letters/3385-prepare-for-the-front-of-the-democratic-struggle.md
3386,1,2009-03-21,Not a Letter — a Counsel to the Conscience!,169-178,source-checked,aligned,reviewed,verified,false,letters/3386-not-a-letter-a-counsel-to-the-conscience.md
3387,1,2009-03-24,Oh! Is This the Same Person?,179-186,source-checked,aligned,reviewed,verified,false,letters/3387-oh-is-this-the-same-person.md
3388,1,2009-03-29,Thanks for That Memory!!,187-190,source-checked,aligned,reviewed,verified,false,letters/3388-thanks-for-that-memory.md
3389,1,2009-04-01,The Incomparable Treasure of Sri Lankan Tamils — Eelam Father Selva’s 112th Birthday!,191-193,source-checked,aligned,reviewed,verified,false,letters/3389-the-incomparable-treasure-of-sri-lankan-tamils.md
3390,1,2009-04-04,Let the Pride of Tamil Lions Set Forth!,194-202,source-checked,aligned,reviewed,verified,false,letters/3390-let-the-pride-of-tamil-lions-set-forth.md
3391,1,2009-04-07,"The Election Field Calls — Dear One, Set Forth!",203-208,source-checked,aligned,reviewed,verified,false,letters/3391-the-election-field-calls-dear-one-set-forth.md
3392,1,2009-04-08,A Scarecrow Doll?,209-212,source-checked,aligned,reviewed,verified,false,letters/3392-a-scarecrow-doll.md
3393,1,2009-04-09,"Come, Raise Your Voice for the Rescue of the Tamil People!",213-218,source-checked,aligned,reviewed,verified,false,letters/3393-come-raise-your-voice-for-the-rescue-of-the-tamil-people.md
3394,1,2009-04-10,Gold Shines in Scorching Fire!,219-221,source-checked,aligned,reviewed,verified,false,letters/3394-gold-shines-in-scorching-fire.md
3395,1,2009-04-14,The Book Moopanar Gave Me!,222-226,source-checked,aligned,reviewed,verified,false,letters/3395-the-book-moopanar-gave-me.md
3396,1,2009-04-19,Are They on Her Side Too?,227-231,source-checked,aligned,reviewed,verified,false,letters/3396-are-they-on-her-side-too.md
3397,1,2009-04-22,An Appeal to the Union Government to Protect Defenceless Eelam Tamils!,232-237,source-checked,aligned,reviewed,verified,false,letters/3397-an-appeal-to-the-union-government-to-protect-defenceless-eelam-tamils.md
3398,1,2009-04-23,"Opposition Even to This? Alas, Tamil Nadu!",238-241,source-checked,aligned,reviewed,verified,false,letters/3398-opposition-even-to-this-alas-tamil-nadu.md
3399,1,2009-04-25,Identify Those Who Oppose the ‘Sethu’ Project!,242-251,source-checked,aligned,reviewed,verified,false,letters/3399-identify-those-who-oppose-the-sethu-project.md
3400,1,2009-04-26,Rise Today — to Protect on Two Fronts!,252-257,source-checked,aligned,reviewed,verified,false,letters/3400-rise-today-to-protect-on-two-fronts.md
3401,1,2009-05-01,Come — and Bring Victory,258-259,source-checked,aligned,reviewed,verified,false,letters/3401-come-and-bring-victory.md
3402,1,2009-05-03,"Not Merely My Eye, Not Merely My Gem; Enter the Field! Get the Work Done!",260-264,source-checked,aligned,reviewed,verified,false,letters/3402-not-merely-my-eye-not-merely-my-gem-enter-the-field-get-the-work-done.md
3403,1,2009-05-12,I Bow at Your Feet; Set Out to Work!,265-267,source-checked,aligned,reviewed,verified,false,letters/3403-i-bow-at-your-feet-set-out-to-work.md
3404,1,2009-05-13,This Pen Makes Its Appeal!,268-271,source-checked,aligned,reviewed,verified,false,letters/3404-this-pen-makes-its-appeal.md
3405,1,2009-05-15,The Bullet That Took the Child’s Life and Entered the Mother’s Stomach!,272-277,source-checked,aligned,reviewed,verified,false,letters/3405-the-bullet-that-took-the-childs-life-and-entered-the-mothers-stomach.md
3406,1,2009-06-02,Do Not Delay the Work That Must Be Done Without Delay!,278-283,source-checked,aligned,reviewed,verified,false,letters/3406-do-not-delay-the-work-that-must-be-done-without-delay.md
3407,1,2009-06-11,Not Just a World Wonder; a Great World Wonder!,284-288,source-checked,aligned,reviewed,verified,false,letters/3407-not-just-a-world-wonder-a-great-world-wonder.md
3408,1,2009-06-22,Read It and Take Comfort!,289-294,source-checked,aligned,reviewed,verified,false,letters/3408-read-it-and-take-comfort.md
3409,1,2009-07-27,Pattinathar Sang It Even Then!,295-299,source-checked,aligned,reviewed,verified,false,letters/3409-pattinathar-sang-it-even-then.md
3410,1,2009-07-29,Ananda Vikatan: Then and Now!,300-303,source-checked,aligned,reviewed,verified,false,letters/3410-ananda-vikatan-then-and-now.md
3411,1,2009-08-07,Deliver an Unparalleled Victory in the By-Elections!,304-310,source-checked,aligned,reviewed,verified,false,letters/3411-deliver-an-unparalleled-victory-in-the-by-elections.md
3412,1,2009-08-09,A Festival Day in Life; Long Live Valluvar!,311-317,source-checked,aligned,reviewed,verified,false,letters/3412-a-festival-day-in-life-long-live-valluvar.md
3413,1,2009-08-22,Who Benefits from the Insurance Scheme?,318-324,source-checked,aligned,reviewed,verified,false,letters/3413-who-benefits-from-the-insurance-scheme.md
3414,1,2009-08-25,"“Look at the Words That Hinder, Brother!”",325-329,source-checked,aligned,reviewed,verified,false,letters/3414-look-at-the-words-that-hinder-brother.md
3415,1,2009-09-13,Two Days Are Festival Days for Us!,330-334,source-checked,aligned,reviewed,verified,false,letters/3415-two-days-are-festival-days-for-us.md
3416,1,2009-10-03,I Immerse Myself in a Great Penance!,335-337,source-checked,aligned,reviewed,verified,false,letters/3416-i-immerse-myself-in-a-great-penance.md
3417,1,2009-10-12,Who Said It? What Is the Name?,338-343,source-checked,aligned,reviewed,verified,false,letters/3417-who-said-it-what-is-the-name.md
3418,1,2009-10-13,Time Alone Must Answer!,344-351,source-checked,aligned,reviewed,verified,false,letters/3418-time-alone-must-answer.md
3419,1,2009-10-14,"The Mother Who Bore Me, Praised by Perarignar!",352-359,source-checked,aligned,reviewed,verified,false,letters/3419-the-mother-who-bore-me-praised-by-perarignar.md
3420,1,2009-10-16,A Bent Tail Cannot Be Straightened!,360-364,source-checked,aligned,reviewed,verified,false,letters/3420-a-bent-tail-cannot-be-straightened.md
3421,1,2009-10-20,World Classical Tamil Conference — Now Joined by the Distinction of Classical Language!,365-373,source-checked,aligned,reviewed,verified,false,letters/3421-world-classical-tamil-conference-with-the-distinction-of-classical-language.md
3422,1,2009-10-22,Whirling Waves of Thought Shine!,374-377,source-checked,aligned,reviewed,verified,false,letters/3422-whirling-waves-of-thought-shine.md
3423,1,2009-10-25,Let Us Sing: This Is a Day of Joy!,378-379,source-checked,aligned,reviewed,verified,false,letters/3423-let-us-sing-this-is-a-day-of-joy.md
3424,1,2009-10-26,Not the Bottom Rung; They Are the Foundation!,380-385,source-checked,aligned,reviewed,verified,false,letters/3424-not-the-bottom-rung-but-the-foundation.md
3425,1,2009-10-27,Will They Regret It — Will They at Least Now Correct Themselves?,386-388,source-checked,aligned,reviewed,verified,false,letters/3425-will-they-regret-will-they-at-least-now-correct-themselves.md
3426,1,2009-10-28,The Long Journey Begun by the Justice Party!,389-395,source-checked,aligned,reviewed,verified,false,letters/3426-the-long-journey-begun-by-the-justice-party.md
3427,1,2009-10-30,A Meeting That Proves Even More Useful!,396-401,source-checked,aligned,reviewed,verified,false,letters/3427-a-meeting-that-proves-even-more-useful.md
